class,age,sex,survived
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,yes
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,male,no
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,yes
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,adult,female,no
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,male,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
2nd,child,female,yes
