class,age,sex,survived
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,yes
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
3rd,adult,male,no
